0.1955,0.1122,-0.0502,0.3195
-0.2016,0.4220,-0.3414,-0.3389
-0.7997,-0.2949,-0.5150,-0.3214
-0.5621,-0.0175,0.5003,0.2028
-0.3893,-0.1975,-0.0960,-0.2621
-0.3855,0.0159,-1.2820,-0.0355
0.3371,-0.0921,-0.2591,0.1711
-0.7490,-0.3958,-0.0637,0.1361
0.6356,0.3382,-0.0027,-0.0261
-0.6895,0.4110,-1.3618,-0.9065
1.7313,0.3009,-0.1134,0.2228
-0.5990,-0.0542,-0.1695,-0.3831
-0.2113,0.0487,0.1636,-0.3877
0.5689,0.8184,-0.3064,-0.0537
-0.5384,-0.9356,-0.2789,-0.1526
-0.5082,0.5071,0.2599,-0.2761
-1.0484,0.7385,-0.1900,-0.7548
-0.2377,-0.2228,0.1549,0.0714
-0.3816,-0.5147,0.0669,-0.3128
0.3216,0.3120,-0.4758,0.1428
-0.0044,-0.3166,-0.7974,0.0549
-0.4957,-0.3391,-0.4310,0.1671
-0.2905,-0.0357,0.6557,0.7529
-0.4130,0.2234,0.0579,-0.2149
-0.6829,-0.2169,-0.1144,0.0586
-0.3043,-0.5768,-0.1333,0.3896
-0.3214,-0.0632,0.0707,-0.0884
-0.2889,1.1324,0.4847,0.1268
1.6029,0.9186,0.5508,0.0444
-0.0249,-0.1076,0.0527,-0.0060
-0.3069,-0.2037,0.7078,0.4214
-0.3213,-0.2947,-0.4086,-0.4420
0.0523,0.4113,0.0798,0.0866
1.3661,-0.3167,0.9111,0.1302
-0.9864,-0.6293,-0.1556,0.0922
0.5501,-0.1873,0.0945,-0.2481
-0.3313,-0.3379,0.7629,0.4869
-0.0860,-0.5436,-0.2416,-0.3754
-0.0930,0.2752,-0.6591,0.1149
-0.3102,-0.2232,-0.3382,-0.0353
-0.0556,0.5234,-0.0394,0.0007
-0.4916,-0.3828,-0.3130,-0.0448
-0.8124,-0.5624,0.4646,0.4732
-0.6293,-0.1144,-0.0767,0.0188
-0.5866,-0.2026,0.0656,0.2863
0.8529,0.0795,0.5276,0.1088
-0.5733,-0.6643,0.0288,-0.0536
0.8289,0.3363,-0.2653,-0.1549
-0.1846,-0.8805,-0.0577,-0.3701
-0.2223,-0.2341,0.5863,0.2224
-0.4413,-0.3309,-0.4792,-0.4167
-0.8589,-0.5547,-0.6420,-0.2651
0.3255,-0.2925,0.0589,-0.1128
-0.3144,-0.5157,-0.7699,-0.0190
0.9794,0.5042,-0.2792,-0.7606
-0.3456,-0.5422,0.0380,-0.0118
-0.3878,-0.1251,-0.4483,-0.3245
0.2527,0.2900,-0.3271,-0.2503
-0.2765,-0.4541,-0.7953,-0.7277
-0.3757,-0.6537,-0.1759,-0.3987
-0.5368,-0.4533,0.2369,0.2120
-0.2064,0.0341,-0.6274,0.1074
-1.1252,-1.2471,-0.7756,-0.3747
-0.6137,-0.2076,-0.3178,-0.7857
0.6651,0.1905,-0.2099,0.1010
-0.7491,-0.7959,-0.9761,-0.6196
-0.6685,-0.3253,-0.4619,0.0305
-0.0581,0.0448,-0.0476,-0.3676
-0.2129,-0.4303,0.4879,0.4742
-0.2524,-0.6311,-0.3648,0.2727
0.2558,-0.1212,-0.2364,0.1546
-0.5102,-0.0668,-0.3494,-0.0089
-0.6415,-0.5534,-0.2534,0.2642
0.4420,0.6288,-0.1655,0.1702
-0.1976,-0.0460,0.3097,0.0967
-0.7940,-0.2353,0.2104,0.1317
-0.4251,-0.0331,0.2543,0.2400
-0.3265,0.1114,-0.2010,-0.2036
0.0626,0.5131,-0.3978,-0.1685
-1.0478,-0.1006,-0.6171,-0.4100
0.7687,-0.1330,-0.2366,-0.0037
-0.0089,0.2591,0.3985,-0.0430
-0.6436,-0.2296,-0.6219,-0.2265
