0.1023,0.4040
0.4427,-0.1129
0.3503,0.2867
0.1613,-0.0893
0.1208,-0.1295
0.9521,-0.0536
0.2045,0.3660
0.3164,0.3422
-0.1328,-0.0682
-0.0905,-0.7942
0.3583,-0.3845
0.1349,0.1303
-0.0154,-0.7237
0.2110,-0.5839
0.2392,-0.1243
-0.2452,-0.4979
0.0404,-0.6141
0.1579,-0.1547
0.0669,-0.2028
0.5090,0.1941
0.6507,0.3513
-0.0094,-0.2363
-0.0179,0.5154
0.3019,-0.3484
0.0048,0.0403
0.2152,-0.0593
-0.0858,0.0761
-0.5157,-0.1573
-0.2610,-0.0698
0.0388,0.3207
0.0864,0.2744
0.0782,0.4193
-0.3152,0.3055
0.0655,0.2073
-0.1123,-0.1090
-0.1334,0.1623
-0.2066,0.0349
-0.4929,-0.0206
1.3492,0.0087
0.3842,0.4421
0.1342,-0.2363
0.2049,0.4256
-0.3479,0.0457
-0.7567,0.6024
-0.2760,0.3558
-0.2836,0.3602
-0.3193,-0.0044
-0.3054,0.3916
-0.5981,-0.1110
0.1946,0.5279
0.1674,0.3695
-0.0707,0.0487
-0.0734,0.3710
-0.2754,-0.0004
-0.1544,-0.0959
0.1755,0.3897
-0.1448,0.5117
0.2950,0.0813
-0.2217,-0.3929
-0.3508,0.2400
0.0455,0.5404
1.0377,-0.2214
0.0316,0.2748
0.1499,0.1685
0.0252,0.4600
0.1800,0.0797
0.3434,0.1527
-0.0575,0.1998
-0.1430,0.2785
0.4442,0.6943
0.1334,0.6768
0.3799,0.1490
0.1516,0.3580
0.8252,0.1301
0.0674,0.0009
-0.6611,0.0123
-0.0292,0.4353
-0.0331,-0.1013
0.1084,-0.1389
0.2764,0.0680
-0.3152,0.0222
0.2031,0.2752
0.0399,0.1005
-0.2221,-0.1251
-1.1786,-0.2832
-0.2082,-0.3336
-0.4604,-0.0414
-0.2069,-0.3545
-0.1684,-0.4404
-0.0576,-0.2153
-0.5110,-0.3906
0.0273,-0.3677
-0.2754,-0.4173
0.1519,-0.0847
0.4291,-0.5345
-0.1034,-0.1667
0.0619,0.1434
0.3660,0.0521
0.5935,-0.6209
0.4476,-0.0631
0.5159,0.0704
0.1572,-0.0076
-0.2165,0.1516
0.3259,0.0862
-0.1438,-0.0652
-0.0789,0.0738
-1.5670,-0.1052
-0.5149,-0.8543
-0.0187,0.3526
-0.3905,-0.3433
-0.2470,-0.2752
0.6388,0.3960
0.6142,-0.1193
0.2513,0.1753
0.4156,-0.0052
0.1218,-0.7752
-0.0299,-0.1805
0.5583,0.5576
0.0138,-0.0932
0.2363,-0.2621
-0.1463,-0.1732
-0.5327,-0.7022
0.3369,0.3465
